GeneSymbol	Slide1_001	Slide5_005	Slide1_004	Slide8_001	Slide3_009	Slide6_003	Slide5_004	Slide3_008	Slide7_001	Slide8_006	Slide1_008	Slide2_003	Slide7_007	Slide3_010	Slide2_001	Slide5_003	Slide5_006	Slide3_006	Slide1_009	Slide5_001	Slide1_002	Slide1_007	Slide6_004	Slide8_005	Slide7_004	Slide3_001	Slide7_003	Slide7_005	Slide1_003	Slide7_008	Slide2_004	Slide8_002	Slide1_006	Slide8_004	Slide3_005	Slide3_002	Slide6_005	Slide6_006	Slide2_002	Slide4_004
NFKBIA	1.304	0.04	3.3	0.032	0.068	0.132	0.036	0.064	4.664	0.06	2.764	0.06	0.16	0.036	0.052	0.052	0.028	0.068	0.584	0.016	1.624	1.804	0.036	0.044	1.384	0.024	4.748	0.292	0.156	0.152	0.076	0.08	0.292	0.052	0.044	0.048	0.036	0.036	0.036	0.012
MMP2	0.388	0.02	0.996	0.016	0.028	0.08	0.028	0.02	1.768	0.036	0.432	0.12	0.04	0.036	0.056	0.032	0.016	0.052	0.256	0.036	0.876	0.416	0.032	0.016	0.288	0.012	2.908	0.108	0.048	0.092	0.036	0.028	0.072	0.08	0.016	0	0.032	0.064	0.036	0.044
CCL22	0.032	0.004	0.036	0	0	0	0	0.004	0.096	0	0.044	0.004	0.004	0	0.004	0	0.004	0.008	0.004	0	0	0.02	0	0.004	0.032	0	0.092	0.008	0.004	0.008	0	0	0	0.008	0.008	0	0	0.004	0.012	0
TSC2	0.508	0.012	1.556	0.02	0.02	0.068	0.012	0.028	1.068	0.024	1.236	0.068	0.06	0.024	0.1	0.008	0.012	0.004	0.308	0.004	1.064	0.792	0.028	0.016	0.264	0.024	0.984	0.052	0.1	0.044	0.048	0.016	0.156	0.064	0.024	0.012	0.004	0.028	0.064	0
TGFB1	0.488	0.004	0.724	0.008	0.024	0.028	0.008	0.036	0.796	0.016	0.668	0.072	0.024	0.028	0.008	0.02	0.028	0.008	0.164	0.02	0.624	0.508	0.012	0.004	0.248	0.028	1.28	0.084	0.06	0.036	0.012	0.024	0.084	0.032	0.04	0.012	0	0.028	0.004	0.004
CD79A	0.02	0	0.004	0	0	0	0	0	0.008	0.008	0.008	0	0.004	0	0	0	0	0	0	0	0.012	0.004	0	0	0	0	0.032	0.004	0	0.004	0	0	0	0.004	0	0	0	0	0	0
NKG7	0.048	0.008	0.252	0	0.004	0.02	0	0	0.124	0	0.112	0	0.004	0	0.004	0	0	0.004	0.028	0	0.032	0.072	0	0.02	0.044	0.008	0.116	0.016	0	0.008	0	0.004	0.008	0.004	0.008	0	0	0.004	0.008	0
HGF	0.144	0	0.536	0	0.004	0.028	0.004	0.012	0.16	0.008	0.316	0.012	0.008	0	0.016	0.012	0	0.008	0.004	0.008	0.436	0.164	0.016	0.008	0.056	0.004	0.36	0.036	0.024	0.004	0.008	0.008	0.056	0.028	0.008	0.004	0.008	0.032	0.008	0.016
SERPINE1	0.088	0	0.9	0.012	0.056	0.012	0.004	0.028	0.252	0.024	0.12	0.012	0.012	0.008	0.004	0	0	0.012	0.02	0.004	0.436	0.388	0.008	0.02	0.152	0.008	0.728	0.052	0.02	0.02	0.008	0.016	0.02	0.016	0.032	0.008	0	0.008	0.016	0.012
ACTA2	0.416	0.016	1.988	0.02	0.02	0.016	0.004	0.024	0.644	0.032	0.4	0.016	0.02	0.008	0.056	0.012	0.016	0.008	0.092	0	0.46	0.464	0.024	0.008	0.128	0.012	1.452	0.052	0.036	0.012	0.024	0.016	0.028	0.004	0.004	0	0.004	0.004	0.016	0
MPO	0.084	0.008	0.084	0.028	0.02	0.016	0.004	0.028	0.308	0.012	0.308	0.012	0.016	0.02	0.016	0.012	0	0.02	0.02	0.016	0.132	0.148	0.008	0.012	0.14	0.012	0.532	0.024	0.012	0.024	0.02	0.012	0.008	0.032	0.028	0.032	0.004	0.02	0.016	0.004
WNT3	0.16	0.004	0.588	0.004	0.004	0.028	0.004	0.02	0.136	0.004	0.332	0.032	0	0.008	0.012	0.012	0	0.008	0.032	0.004	0.196	0.368	0	0.02	0.036	0.012	0.236	0.028	0.028	0.012	0.004	0.04	0.052	0.012	0.008	0.004	0	0	0.004	0.008
CCL2	0.984	0.008	11.232	0.052	0.036	0.136	0.004	0.016	4.28	0.072	8.436	0.116	0.152	0.06	0.012	0.016	0.016	0.056	0.144	0.024	3.808	4.372	0.028	0.012	0.796	0.016	2.676	0.148	0.052	0.092	0.012	0.016	0.436	0.024	0.08	0.004	0.012	0.012	0.02	0.024
COL1A1	2.28	0.152	2.448	0.1	0.22	0.196	0.096	0.032	7.96	0.108	0.872	0.332	0.464	0.028	0.192	0.28	0.152	0.06	0.704	0.268	0.62	3.58	0.116	0.064	2.68	0.044	12.352	0.504	0.216	0.44	0.136	0.028	0.224	0.24	0.012	0.044	0.132	0.124	0.32	0.224
NFKB1	0.324	0.008	0.636	0.012	0.02	0.02	0.008	0.02	0.948	0.008	0.912	0.04	0.012	0.004	0.036	0.004	0	0.028	0.204	0.012	0.552	0.536	0.02	0.008	0.268	0.012	1.208	0.044	0.06	0.056	0.004	0.02	0.068	0.012	0.02	0.052	0.02	0.008	0.004	0.008
CCND1	11.664	0.06	32.692	0.02	0.088	0.028	0.044	0.092	1.568	0.056	33.164	0.26	0.028	0.124	0.104	0.08	0.064	0.064	5.968	0.056	21.86	16.776	0.016	0.02	0.624	0.068	2.136	0.144	1.904	0.108	0.18	0.028	3.948	0.056	0.092	0.052	0.032	0.012	0.048	0.024
IL23A	0.028	0.008	0.184	0.016	0.016	0.004	0.008	0.008	0.192	0.012	0.16	0.02	0.004	0.028	0.02	0.012	0.004	0.012	0.064	0.02	0.084	0.108	0.008	0.016	0.064	0.012	0.244	0.032	0.004	0.004	0.016	0.012	0.016	0.008	0.004	0.004	0	0.008	0.012	0.02
CDKN1B	0.38	0.012	0.664	0.004	0.012	0.028	0.016	0.008	0.148	0.016	0.848	0.04	0.016	0.008	0.016	0.004	0.008	0.008	0.184	0.008	0.492	0.408	0	0	0.076	0	0.332	0.016	0.032	0.012	0.012	0.004	0.1	0.032	0.008	0.02	0.004	0	0.028	0
KLRB1	0.012	0	0.056	0	0.012	0.028	0	0	0.056	0.008	0.044	0.008	0.008	0.008	0.004	0.004	0.012	0.004	0.012	0.004	0.024	0.06	0.012	0	0.028	0.004	0.096	0.004	0	0.004	0.008	0.008	0.004	0.008	0.008	0	0	0.004	0.004	0.004
LOX	0.06	0.004	0.068	0.024	0	0.02	0	0	0.2	0.004	0.136	0.012	0	0.004	0.004	0.008	0.016	0	0	0.016	0.156	0.112	0	0.012	0.04	0.004	0.184	0.016	0	0	0.008	0	0.008	0.016	0.008	0.004	0.008	0	0.02	0.012
GZMK	0.032	0	0.036	0	0.004	0	0	0.008	0.036	0	0.016	0.008	0.004	0.008	0.008	0.004	0	0	0	0	0.04	0.016	0	0	0.012	0	0.044	0.004	0.012	0	0	0.008	0	0.012	0	0	0	0.008	0.004	0.004
IL12B	0.064	0.008	0.224	0.012	0.02	0.02	0	0.004	0.124	0.012	0.324	0.024	0.008	0.008	0.004	0	0	0.028	0.02	0.004	0.18	0.112	0.008	0.008	0.076	0.016	0.404	0.012	0.02	0.016	0.02	0.032	0.008	0.016	0.02	0.012	0.008	0.004	0.016	0.012
SELL	0.04	0	0.14	0.004	0.02	0	0	0	0.036	0	0.096	0.012	0.008	0.008	0.008	0.004	0	0	0.012	0.004	0.068	0.052	0.004	0	0.02	0.004	0.128	0.016	0.016	0.012	0.004	0.004	0.008	0.004	0	0	0	0	0	0
TGFB3	0.08	0.004	0.18	0.02	0.008	0.02	0.004	0.004	0.192	0.024	0.224	0.036	0.028	0.008	0.004	0.008	0.004	0.008	0.028	0.016	0.132	0.052	0	0	0.068	0	0.612	0.016	0.004	0.032	0.02	0.016	0.004	0.028	0.02	0.004	0.008	0.008	0.004	0.02
DUSP1	0.748	0.012	0.784	0.012	0.032	0.068	0.004	0.044	0.664	0.044	1.248	0.196	0.032	0.036	0.048	0.004	0.016	0.064	0.268	0.008	0.908	0.86	0.032	0.02	0.328	0.036	1.42	0.032	0.052	0.04	0.028	0.06	0.2	0.04	0.024	0.032	0.016	0.016	0.012	0.008
EGR1	0.484	0	0.472	0	0.036	0.008	0.004	0.024	0.192	0.032	0.16	0.028	0.028	0.028	0.012	0	0.008	0.02	0.1	0.008	0.504	0.3	0.016	0.004	0.264	0.012	0.66	0.036	0.028	0.04	0.004	0.02	0.112	0.012	0.028	0.004	0.004	0.004	0.004	0.004
KLRK1	0.052	0	0.064	0	0	0.008	0	0.004	0.052	0	0.024	0.004	0.008	0.008	0.004	0	0	0	0.016	0	0.028	0.08	0.008	0	0.036	0.004	0.036	0	0.008	0	0.004	0.004	0.004	0.004	0.008	0	0.004	0.004	0	0.004
TNFSF10	2.124	0	5.544	0.016	0.056	0.096	0.004	0.04	1.044	0.048	7.212	0.068	0.068	0.06	0.032	0.008	0.016	0.052	0.872	0.008	4.532	4.732	0.048	0.008	0.352	0.02	1.972	0.064	0.256	0.064	0.048	0.016	0.744	0.028	0.048	0.028	0.052	0.06	0.012	0.02
CXCR4	0.764	0.048	1.232	0.04	0.04	0.132	0.028	0.032	3.312	0.088	1.416	0.196	0.144	0.024	0.036	0.072	0.044	0.044	0.36	0.084	1.54	1.176	0.076	0.06	0.708	0.032	3.232	0.148	0.08	0.104	0.068	0.088	0.228	0.072	0.032	0.04	0.056	0.024	0.04	0.084
TWIST1	0.012	0	0.112	0	0.008	0	0	0.008	0.068	0.012	0.1	0.004	0.004	0.004	0	0.004	0	0.004	0.008	0	0.104	0.092	0.004	0	0.044	0.008	0.232	0.016	0.004	0.008	0	0.012	0.012	0.02	0.008	0.008	0.004	0.016	0	0
LRP1	1.668	0.044	3.872	0.044	0.12	0.136	0.016	0.028	3.884	0.14	1.984	0.156	0.12	0.02	0.052	0.052	0.028	0.06	0.468	0.036	2.584	2.2	0.056	0.024	0.856	0.04	5.172	0.276	0.152	0.18	0.056	0.08	0.376	0.088	0.04	0.02	0.028	0.044	0.084	0.04
CDKN1A	0.436	0.012	2.552	0.02	0.04	0.108	0.012	0.02	0.62	0.012	1.108	0.072	0.052	0.02	0.016	0.032	0.012	0.036	0.096	0.016	0.728	1.06	0.008	0.04	0.38	0.004	1.664	0.032	0.028	0.064	0.004	0.02	0.104	0.02	0.02	0.012	0.024	0.036	0.012	0.012
SOX9	0.152	0.036	0.66	0.008	0.02	0.02	0.004	0.012	0.24	0.028	0.256	0.028	0.024	0.012	0.032	0.004	0.004	0.032	0.108	0	0.38	0.412	0.008	0.012	0.22	0.012	0.72	0.024	0.068	0.02	0.024	0.008	0.036	0.02	0.012	0.008	0.02	0.008	0.028	0.004
CCR7	0.012	0	0.012	0	0.004	0.012	0	0.004	0.048	0.004	0.036	0.012	0	0.004	0	0	0	0.004	0.004	0	0.02	0.024	0.004	0	0.036	0	0.068	0	0	0.004	0	0.004	0.004	0	0	0	0	0	0	0
KLF2	0.096	0.004	0.132	0.008	0.008	0.008	0.008	0.008	0.26	0	0.072	0.024	0.016	0.004	0.008	0	0.008	0.012	0.06	0.008	0.116	0.064	0.008	0.004	0.076	0.004	0.38	0.032	0.016	0	0	0.004	0.004	0.004	0.008	0.004	0.004	0	0.004	0
RAF1	0.244	0.008	1.06	0.008	0.016	0.036	0	0.004	1.576	0.024	0.828	0.028	0.068	0.02	0.032	0	0.012	0.012	0.088	0.004	0.424	0.46	0.004	0.012	0.428	0.024	1.984	0.14	0.04	0.068	0.016	0.016	0.056	0.036	0.004	0.016	0.004	0.016	0.012	0.004
PLVAP	0.02	0.004	0.076	0	0.012	0.012	0	0.004	0.136	0.004	0.064	0.012	0.004	0.004	0.004	0.004	0.004	0.004	0.012	0	0.08	0.048	0.004	0.004	0.04	0	0.152	0.008	0	0.004	0.004	0	0.012	0	0.004	0.004	0.008	0	0.004	0
BST2	2.676	0.004	8.656	0.016	0.02	0.036	0.016	0.024	2.416	0.04	8.668	0.084	0.12	0.016	0.036	0.016	0.008	0.052	0.9	0.02	6.472	5.22	0.032	0.036	0.8	0.024	3.328	0.092	0.388	0.116	0.028	0.032	1.08	0.04	0.04	0.024	0	0.028	0.012	0.008
LGR6	0.076	0	0.068	0	0.008	0.004	0	0.012	0.02	0.02	0.132	0.012	0	0.012	0.02	0	0.004	0.004	0	0	0.036	0.044	0	0.016	0.02	0.004	0.06	0.004	0.008	0	0.004	0.004	0.008	0.008	0.008	0.012	0	0.004	0.008	0
CCNB1	0.244	0.004	0.492	0.008	0.012	0.02	0.004	0.004	0.504	0.012	0.476	0.012	0.028	0.032	0.004	0	0.004	0	0.132	0.008	0.28	0.272	0.012	0.016	0.104	0.004	0.396	0.012	0.012	0.016	0.012	0	0.044	0.02	0.032	0	0.004	0.004	0.024	0.008
PDGFRA	0.092	0	0.124	0	0.004	0	0	0.004	0.332	0.008	0.116	0.012	0.004	0.004	0.004	0.004	0	0.012	0.032	0	0.048	0.12	0.012	0.004	0.084	0.004	0.408	0.016	0.004	0.02	0	0.028	0.016	0.024	0.012	0.004	0.012	0	0	0.008
APC	0.116	0.004	0.372	0.008	0.016	0.012	0	0.012	0.196	0.004	0.18	0.016	0.004	0	0.008	0.012	0	0.004	0.048	0.004	0.288	0.176	0.008	0.012	0.076	0.016	0.304	0.02	0.008	0.004	0	0.008	0.012	0.008	0.008	0	0.004	0	0.012	0.004
TBX3	0.044	0.008	0.128	0.012	0.008	0.032	0.008	0.004	0.368	0.016	0.144	0.04	0.016	0.012	0.012	0.012	0	0	0.036	0	0.044	0.092	0.008	0.016	0.172	0.004	0.364	0.016	0.008	0.012	0.012	0.004	0.008	0.02	0.008	0	0	0.004	0.012	0.02
CDK4	0.408	0.016	0.852	0.008	0.016	0.036	0.016	0.008	1.18	0.024	0.428	0.04	0.052	0.02	0.004	0.008	0.012	0.012	0.172	0.004	0.608	0.48	0	0.008	0.432	0.008	1.72	0.12	0.056	0.064	0.024	0.004	0.076	0.044	0.024	0.016	0.004	0.036	0.024	0.012
BLK	0.004	0	0.016	0.004	0.004	0.004	0	0	0.004	0	0.06	0	0	0.004	0	0	0	0	0.004	0	0.012	0.016	0	0	0	0	0	0	0	0.004	0	0.004	0	0	0	0	0	0	0	0
TLR2	2.048	0.052	7.744	0.06	0.204	0.236	0.072	0.2	3.42	0.2	5.668	0.112	0.108	0.292	0.116	0.12	0.044	0.132	0.848	0.04	5.284	2.8	0.14	0.092	0.94	0.18	3.392	0.2	0.176	0.164	0.076	0.18	0.552	0.152	0.108	0.12	0.08	0.064	0.068	0.052
MMP7	0.032	0.012	0.104	0.02	0.016	0.008	0	0.004	0.552	0.02	0.104	0.02	0.032	0.004	0	0	0.004	0.008	0.008	0	0.016	0.212	0	0.008	0.076	0	0.336	0.012	0	0.02	0	0.068	0.004	0.024	0.008	0.008	0	0.008	0.008	0.004
LYZ	4.812	0.08	9.28	0.04	0.048	0.484	0.016	0.048	24.888	0.264	8.424	0.612	1.504	0.056	0.288	0.136	0.056	0.256	1.832	0.112	5.08	5.108	0.24	0.112	20.972	0.052	116.708	2.576	0.22	2.504	0.152	0.212	0.624	0.136	0.156	0.188	0.184	0.16	0.36	0.024
LRP6	0.16	0.012	0.528	0.016	0.028	0.032	0.004	0.012	0.328	0.016	0.376	0.044	0.024	0.012	0.004	0.004	0.012	0.008	0.044	0.012	0.308	0.32	0	0.004	0.056	0.004	0.448	0.02	0.024	0.036	0	0.024	0.068	0.004	0.004	0.008	0.008	0.004	0.016	0.012
VWF	0.02	0	0.036	0	0	0.008	0	0	0.044	0.004	0.136	0.008	0.004	0.004	0	0	0	0	0.008	0	0.084	0.06	0.004	0	0.02	0	0.192	0	0	0	0.008	0	0	0.004	0	0	0	0	0	0
CDH1	0.4	0.012	0.656	0.008	0.016	0.028	0.012	0.004	1.28	0.016	0.98	0.036	0.068	0.024	0.012	0.012	0	0.008	0.132	0.016	0.4	0.612	0.004	0	0.392	0.012	1.556	0.088	0.036	0.06	0.044	0.028	0.084	0.004	0.028	0.012	0.004	0.012	0.008	0.008
PDGFRB	0.084	0.004	0.24	0	0.012	0.024	0.004	0.008	0.272	0.016	0.132	0.012	0.012	0.008	0.004	0	0.004	0	0.08	0.004	0.24	0.116	0	0.004	0.1	0	0.416	0.02	0.004	0.004	0.004	0.004	0.052	0.012	0	0	0.008	0.004	0.008	0.008
FLT4	0.016	0.004	0.04	0	0	0.004	0	0.004	0.044	0.008	0.028	0.008	0.004	0.004	0	0.004	0	0	0	0.008	0.016	0.016	0	0	0.004	0.004	0.056	0	0.004	0.004	0	0	0	0.004	0	0	0	0	0	0
CREBBP	0.416	0.008	1.012	0	0.012	0.044	0	0	0.56	0.02	1.188	0.036	0.032	0.004	0.016	0.004	0.016	0.012	0.16	0.004	0.6	0.636	0.008	0.008	0.132	0.008	0.74	0.028	0.076	0.032	0.004	0.012	0.104	0.012	0.016	0	0.012	0.008	0.016	0.004
IL1B	0.44	0.028	2.464	0.048	0.076	0.076	0.016	0.02	0.496	0.048	1.436	0.084	0.016	0.056	0.032	0.032	0.008	0.06	0.04	0.036	0.568	0.728	0.024	0.032	0.256	0.024	0.56	0.04	0.056	0.028	0.008	0.012	0.128	0.108	0.008	0.028	0.012	0.032	0.056	0.036
BRD4	0.444	0.012	0.916	0.028	0.032	0.088	0.024	0.012	1.308	0.012	0.816	0.052	0.06	0.012	0.044	0.032	0.024	0.016	0.128	0.008	0.604	0.568	0.02	0.016	0.464	0.016	1.864	0.104	0.028	0.052	0.036	0.032	0.08	0.048	0.024	0.032	0.008	0.012	0.028	0.016
EPCAM	0.152	0	0.42	0.004	0.02	0	0.004	0.008	0.42	0.004	0.264	0.012	0.024	0.012	0.004	0.004	0.008	0.008	0.08	0.008	0.252	0.332	0.004	0.008	0.112	0	0.564	0.048	0.02	0.028	0.004	0.008	0.036	0.004	0.004	0.004	0.008	0.008	0.008	0.016
AKT3	0.152	0.012	0.228	0.016	0.02	0.028	0.008	0.028	0.28	0.004	0.188	0.012	0.016	0.028	0.008	0.012	0.008	0.016	0.032	0.004	0.176	0.02	0.012	0.012	0.072	0.004	0.5	0.04	0	0.016	0.004	0.004	0.004	0.016	0.016	0.012	0.008	0.004	0.012	0.012
GNLY	0.016	0	0.036	0.004	0.004	0	0	0	0.076	0.004	0.068	0.004	0	0	0	0	0	0	0	0.004	0.088	0.06	0	0	0.004	0	0.036	0.004	0.012	0	0	0	0.004	0.004	0	0	0	0.004	0.004	0.004
KDR	0.028	0	0.084	0	0.008	0.008	0.004	0.004	0.088	0	0.156	0.008	0	0.012	0	0	0	0.016	0.028	0	0.064	0.072	0.004	0	0.036	0.004	0.196	0.012	0	0.008	0.004	0.004	0.004	0	0.004	0.004	0	0	0.004	0
PIK3CA	0.24	0.008	0.408	0.016	0.028	0.016	0.004	0.012	0.372	0.024	0.376	0.048	0.028	0.02	0	0.008	0.012	0.012	0.068	0.016	0.396	0.216	0.004	0.012	0.104	0.012	0.656	0.032	0.04	0.036	0.004	0.008	0.02	0.008	0.008	0	0.004	0.004	0.016	0.004
LAMC2	0.056	0	0.316	0.004	0	0.036	0.008	0.008	0.2	0.012	0.112	0.008	0.008	0.004	0.012	0.004	0	0.012	0.004	0.008	0.064	0.052	0	0	0.048	0	0.288	0.048	0.008	0.04	0.008	0.008	0.004	0.004	0	0	0	0.008	0.004	0.008
MCM6	0.264	0.012	0.352	0	0.016	0.012	0.004	0.028	0.464	0.004	0.424	0.028	0.036	0.008	0.008	0.012	0.004	0.02	0.088	0.016	0.248	0.224	0.012	0.008	0.176	0.008	0.68	0.044	0.02	0.02	0	0.008	0.016	0.012	0.012	0	0	0	0.02	0
FGF2	0.084	0.004	0.16	0.004	0.008	0.02	0	0.008	0.1	0.016	0.088	0.012	0.004	0.032	0.008	0	0	0.016	0.012	0	0.132	0.54	0	0.004	0.1	0.016	0.212	0.036	0.008	0.008	0.008	0.024	0.004	0.008	0.024	0	0	0.008	0.02	0
STAT3	0.596	0.02	1.66	0.024	0.04	0.048	0.004	0.012	1.188	0.012	1.588	0.048	0.056	0.02	0.048	0.024	0.012	0.024	0.224	0.016	0.928	1.16	0.016	0.016	0.32	0.016	1.464	0.064	0.08	0.06	0.028	0.036	0.096	0.036	0.036	0.004	0.032	0.012	0.04	0.016
ICAM1	0.448	0.016	1.78	0.008	0.028	0.072	0.02	0.012	2.844	0.024	0.816	0.056	0.108	0.012	0.044	0.012	0.02	0.024	0.096	0.012	0.404	0.74	0.016	0.032	0.856	0.008	2.836	0.148	0.044	0.108	0	0.052	0.104	0.032	0.06	0.04	0.016	0.032	0.028	0.032
CXCL9	0.064	0	0.38	0.004	0.004	0.016	0	0.012	0.428	0.012	0.096	0.08	0.064	0	0.028	0	0	0.044	0.012	0.008	0.212	0.432	0	0.024	1.008	0.004	3.212	0.072	0.004	0.132	0.02	0.048	0.028	0.016	0.08	0.06	0.004	0.016	0	0.024
MCM2	0.136	0.012	0.348	0.008	0.012	0.012	0.012	0.004	0.42	0.012	0.512	0.016	0.02	0.008	0.016	0.008	0	0.008	0.016	0	0.152	0.16	0.004	0.02	0.22	0.024	0.572	0.048	0.004	0.02	0.008	0.012	0.02	0.024	0.02	0	0.008	0.004	0.016	0
MSH3	0.12	0.008	0.404	0.012	0.024	0.016	0	0.016	0.3	0.016	0.408	0.036	0.012	0.004	0.012	0.004	0.004	0.028	0.032	0.008	0.148	0.18	0.004	0.004	0.104	0.012	0.416	0.008	0.036	0.008	0.008	0.004	0.028	0.028	0.008	0.016	0.004	0.008	0.008	0.004
LAMP3	0.008	0	0.048	0	0	0.004	0.004	0	0.044	0	0.104	0.004	0.004	0	0	0.004	0	0	0	0	0.008	0.016	0	0.004	0.044	0	0.136	0	0	0	0	0	0	0.008	0	0	0	0	0	0
PMS2	0.148	0.004	0.688	0.012	0.024	0.024	0.004	0.02	0.26	0.028	0.34	0.06	0.02	0.028	0.04	0.016	0.004	0.008	0.06	0.028	0.268	0.212	0	0.004	0.088	0.016	0.388	0.012	0.004	0.016	0.004	0.02	0.016	0.016	0.012	0.012	0.004	0.004	0.024	0.008
